Date,Usage,Temperature,Event_Start,Event_End,Attendance,Total_sq_ft,Hall_A,Meeting_Room_A,Main_Room,Hall_B,Meeting_Room_B,Hall_C,Meeting_Room_C,Hall_D,Meeting_Room_D,Terrace,Parking
4/2/18,99983.856,73.875,,,0,0,0,0,0,0,0,0,0,0,0,0,0
4/3/18,104573.52,66.39583333,,,0,0,0,0,0,0,0,0,0,0,0,0,0
4/4/18,111377.88,68.625,,,0,0,0,0,0,0,0,0,0,0,0,0,0
4/5/18,120988.904,75.72916667,,,0,0,0,0,0,0,0,0,0,0,0,0,0
4/6/18,163449.79,78.125,,,0,0,0,0,0,0,0,0,0,0,0,0,0
4/7/18,194231.763,78.47222222,,,0,0,0,0,0,0,0,0,0,0,0,0,0
4/8/18,202594.239,73.83333333,,,0,0,0,0,0,0,0,0,0,0,0,0,0
4/9/18,209406.913,71.91666667,4/9/18,4/12/18,103000,2184344,1,1,1,1,1,1,1,0,0,0,1
4/10/18,216264.168,76.27083333,4/9/18,4/12/18,103000,2184344,1,1,1,1,1,1,1,0,0,0,1
4/11/18,262668.527,81,4/9/18,4/12/18,103000,2184344,1,1,1,1,1,1,1,0,0,0,1
4/12/18,194951.377,64.70833333,4/9/18,4/12/18,103000,2184344,1,1,1,1,1,1,1,0,0,0,1
4/13/18,101655.504,62.22916667,,,0,0,0,0,0,0,0,0,0,0,0,0,0
4/14/18,65440.403,66.64583333,,,0,0,0,0,0,0,0,0,0,0,0,0,0
4/15/18,83131.541,71.27083333,,,0,0,0,0,0,0,0,0,0,0,0,0,0
4/16/18,89490.356,67.70833333,,,0,0,0,0,0,0,0,0,0,0,0,0,0
4/17/18,77427.144,59.47916667,,,0,0,0,0,0,0,0,0,0,0,0,0,0
4/18/18,90914.256,65.58333333,,,0,0,0,0,0,0,0,0,0,0,0,0,0
4/19/18,101302.211,60.45833333,4/19/18,4/20/18,5000,385156,1,1,1,0,0,0,0,0,0,0,0
4/20/18,109256.604,68.71527778,4/19/18,4/20/18,5000,385156,1,1,1,0,0,0,0,0,0,0,0
4/21/18,119704.104,72.95833333,4/21/18,4/29/18,35000,721515,0,0,0,0,0,0,0,0,0,0,0
4/22/18,126066.096,77.60416667,4/21/18,4/29/18,35000,721515,0,0,0,0,0,0,0,0,0,0,0
4/23/18,134505.139,81.60416667,4/21/18,4/29/18,35000,721515,0,0,0,0,0,0,0,0,0,0,0
4/24/18,139480.617,80.85416667,4/21/18,4/29/18,35000,721515,0,0,0,0,0,0,0,0,0,0,0
4/24/18,139480.617,80.85416667,4/24/18,4/26/18,12500,734204,0,0,0,0,0,0,0,0,0,0,0
4/25/18,133271.094,81.91666667,4/21/18,4/29/18,35000,721515,0,0,0,0,0,0,0,0,0,0,0
4/25/18,133271.094,81.91666667,4/24/18,4/26/18,12500,734204,0,0,0,0,0,0,0,0,0,0,0
4/26/18,123345.404,83.85416667,4/26/18,4/28/18,9000,468502,1,1,1,0,0,0,0,0,0,0,0
4/26/18,123345.404,83.85416667,4/21/18,4/29/18,35000,721515,0,0,0,0,0,0,0,0,0,0,0
4/26/18,123345.404,83.85416667,4/24/18,4/26/18,12500,734204,0,0,0,0,0,0,0,0,0,0,0
4/27/18,143804.212,83.6875,4/27/18,4/28/18,3000,270683,0,0,0,0,0,1,1,0,0,0,0
4/27/18,143804.212,83.6875,4/26/18,4/28/18,9000,468502,1,1,1,0,0,0,0,0,0,0,0
4/27/18,143804.212,83.6875,4/21/18,4/29/18,35000,721515,0,0,0,0,0,0,0,0,0,0,0
4/28/18,125614.41,76.8125,4/27/18,4/28/18,3000,270683,0,0,0,0,0,1,1,0,0,0,0
4/28/18,125614.41,76.8125,4/26/18,4/28/18,9000,468502,1,1,1,0,0,0,0,0,0,0,0
4/28/18,125614.41,76.8125,4/21/18,4/29/18,35000,721515,0,0,0,0,0,0,0,0,0,0,0
4/29/18,117683.362,71.95833333,4/21/18,4/29/18,35000,721515,0,0,0,0,0,0,0,0,0,0,0
4/30/18,76805.352,68.4375,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1/18,88703.097,59.12916667,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2/18,98933.331,59.52083333,5/2/18,5/3/18,600,147357,0,0,0,0,0,1,1,0,0,0,0
5/3/18,97239.428,68.72916667,5/2/18,5/3/18,600,147357,0,0,0,0,0,1,1,0,0,0,0
5/4/18,97615.139,76,5/4/18,5/6/18,8000,148744,0,0,0,0,0,1,1,0,0,0,0
5/5/18,107593.611,81.16666667,5/4/18,5/6/18,8000,148744,0,0,0,0,0,1,1,0,0,0,0
5/6/18,121386.275,85.14583333,5/4/18,5/6/18,8000,148744,0,0,0,0,0,1,1,0,0,0,0
5/7/18,133335.589,86.89583333,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5/8/18,146397.648,87.10416667,5/8/18,5/10/18,37000,1185395,0,1,1,1,1,0,0,0,0,0,1
5/9/18,140383.798,90.375,5/8/18,5/10/18,37000,1185395,0,1,1,1,1,0,0,0,0,0,1
5/10/18,108836.9,87.3125,5/8/18,5/10/18,37000,1185395,0,1,1,1,1,0,0,0,0,0,1
5/11/18,88822.283,79.95833333,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5/12/18,90376.899,71.16666667,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5/13/18,79706.879,74.9375,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5/14/18,75822.415,76.75,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5/15/18,85797.072,79.09027778,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5/16/18,102297.132,81.60416667,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5/17/18,106385.112,78.5625,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5/18/18,123174.713,80.83333333,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5/19/18,129546.012,82.32638889,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5/20/18,133070.239,82.04166667,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5/21/18,191323.687,77.1875,5/21/18,5/23/18,37000,2184344,1,1,1,1,1,1,1,0,0,0,1
5/22/18,188043.995,78.33333333,5/21/18,5/23/18,37000,2184344,1,1,1,1,1,1,1,0,0,0,1
5/23/18,159788.268,81.48611111,5/21/18,5/23/18,37000,2184344,1,1,1,1,1,1,1,0,0,0,1
5/24/18,107272.296,82.5625,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5/25/18,99051.264,80.6875,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5/26/18,83988.936,73.20833333,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5/27/18,71730.684,77.55555556,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5/28/18,57390.66,83.125,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5/29/18,95857.632,86.54166667,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5/30/18,108350.496,89.45833333,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5/31/18,115508.7,82.47916667,5/31/18,6/3/18,7500,335833,0,0,0,0,0,1,1,0,0,0,0
6/1/18,114186.636,82.22916667,5/31/18,6/3/18,7500,335833,0,0,0,0,0,1,1,0,0,0,0
6/2/18,118489.356,88.4375,5/31/18,6/3/18,7500,335833,0,0,0,0,0,1,1,0,0,0,0
6/3/18,144479.592,91.41666667,5/31/18,6/3/18,7500,335833,0,0,0,0,0,1,1,0,0,0,0
6/4/18,168123.492,93.83333333,,,0,0,0,0,0,0,0,0,0,0,0,0,0
6/5/18,173981.016,91.36111111,,,0,0,0,0,0,0,0,0,0,0,0,0,0
6/6/18,200492.64,89.52083333,6/6/18,6/8/18,38000,1185395,0,1,1,1,1,0,0,0,0,0,1
6/7/18,195000.66,87.75,6/6/18,6/8/18,38000,1185395,0,1,1,1,1,0,0,0,0,0,1
6/8/18,177619.284,89.29166667,6/6/18,6/8/18,38000,1185395,0,1,1,1,1,0,0,0,0,0,1
6/9/18,120116.628,90.41666667,6/9/18,6/10/18,5000,52349,0,0,0,0,0,1,1,0,0,0,0
6/10/18,108107.928,86.875,6/9/18,6/10/18,5000,52349,0,0,0,0,0,1,1,0,0,0,0
6/11/18,110619.864,91.02083333,,,0,0,0,0,0,0,0,0,0,0,0,0,0
6/12/18,122567.58,93.95833333,6/12/18,6/14/18,275,23917,0,0,0,0,0,0,1,0,0,0,0
6/12/18,122567.58,93.95833333,6/12/18,6/14/18,7500,270683,0,0,0,0,0,1,1,0,0,0,0
6/13/18,116403.876,95.91666667,6/12/18,6/14/18,275,23917,0,0,0,0,0,0,1,0,0,0,0
6/13/18,116403.876,95.91666667,6/12/18,6/14/18,7500,270683,0,0,0,0,0,1,1,0,0,0,0
6/14/18,137673.54,94.47916667,6/12/18,6/14/18,275,23917,0,0,0,0,0,0,1,0,0,0,0
6/14/18,137673.54,94.47916667,6/12/18,6/14/18,7500,270683,0,0,0,0,0,1,1,0,0,0,0
6/14/18,137673.54,94.47916667,6/14/18,6/17/18,10000,375463,0,1,0,1,1,0,0,0,0,0,0
6/15/18,127958.796,91.02083333,6/14/18,6/17/18,10000,375463,0,1,0,1,1,0,0,0,0,0,0
6/16/18,126469.836,87.5,6/14/18,6/17/18,10000,375463,0,1,0,1,1,0,0,0,0,0,0
6/17/18,129141.576,83.35416667,6/14/18,6/17/18,10000,375463,0,1,0,1,1,0,0,0,0,0,0
6/17/18,129141.576,83.35416667,6/17/18,7/8/18,10000,448893,1,1,1,0,0,0,0,0,0,0,0
6/18/18,110173.176,83,6/17/18,7/8/18,10000,448893,1,1,1,0,0,0,0,0,0,0,0
6/19/18,124517.628,89.125,6/17/18,7/8/18,10000,448893,1,1,1,0,0,0,0,0,0,0,0
6/20/18,128066.544,94.33333333,6/20/18,6/21/18,3000,198738,0,0,0,0,0,0,1,0,0,0,0
6/20/18,128066.544,94.33333333,6/17/18,7/8/18,10000,448893,1,1,1,0,0,0,0,0,0,0,0
6/21/18,142755.66,98.60416667,6/20/18,6/21/18,3000,198738,0,0,0,0,0,0,1,0,0,0,0
6/21/18,142755.66,98.60416667,6/17/18,7/8/18,10000,448893,1,1,1,0,0,0,0,0,0,0,0
6/22/18,140609.34,97.29166667,6/17/18,7/8/18,10000,448893,1,1,1,0,0,0,0,0,0,0,0
6/23/18,135323.892,97.29166667,6/23/18,6/24/18,2200,72066,0,0,0,0,0,1,1,0,0,0,0
6/23/18,135323.892,97.29166667,6/17/18,7/8/18,10000,448893,1,1,1,0,0,0,0,0,0,0,0
6/23/18,135323.892,97.29166667,6/23/18,6/25/18,25000,721625,0,0,0,0,0,0,0,0,0,0,0
6/24/18,152552.34,94.27083333,6/23/18,6/24/18,2200,72066,0,0,0,0,0,1,1,0,0,0,0
6/24/18,152552.34,94.27083333,6/17/18,7/8/18,10000,448893,1,1,1,0,0,0,0,0,0,0,0
6/24/18,152552.34,94.27083333,6/23/18,6/25/18,25000,721625,0,0,0,0,0,0,0,0,0,0,0
6/25/18,148239.432,96.1875,6/17/18,7/8/18,10000,448893,1,1,1,0,0,0,0,0,0,0,0
6/25/18,148239.432,96.1875,6/23/18,6/25/18,25000,721625,0,0,0,0,0,0,0,0,0,0,0
6/26/18,128072.268,97.16666667,6/17/18,7/8/18,10000,448893,1,1,1,0,0,0,0,0,0,0,0
6/27/18,108021.888,96.72916667,6/17/18,7/8/18,10000,448893,1,1,1,0,0,0,0,0,0,0,0
6/28/18,114815.592,94.125,6/28/18,6/30/18,500,72066,0,0,0,0,0,1,1,0,0,0,0
6/28/18,114815.592,94.125,6/17/18,7/8/18,10000,448893,1,1,1,0,0,0,0,0,0,0,0
6/29/18,114066.108,90.83333333,6/28/18,6/30/18,500,72066,0,0,0,0,0,1,1,0,0,0,0
6/29/18,114066.108,90.83333333,6/29/18,7/1/18,15000,126638,1,1,1,0,0,0,0,0,0,0,0
6/29/18,114066.108,90.83333333,6/17/18,7/8/18,10000,448893,1,1,1,0,0,0,0,0,0,0,0
6/30/18,105531.156,92.66666667,6/28/18,6/30/18,500,72066,0,0,0,0,0,1,1,0,0,0,0
6/30/18,105531.156,92.66666667,6/29/18,7/1/18,15000,126638,1,1,1,0,0,0,0,0,0,0,0
6/30/18,105531.156,92.66666667,6/17/18,7/8/18,10000,448893,1,1,1,0,0,0,0,0,0,0,0
7/1/18,99905.796,94.60416667,6/29/18,7/1/18,15000,126638,1,1,1,0,0,0,0,0,0,0,0
7/1/18,99905.796,94.60416667,6/17/18,7/8/18,10000,448893,1,1,1,0,0,0,0,0,0,0,0
7/2/18,94429.404,96.35416667,6/17/18,7/8/18,10000,448893,1,1,1,0,0,0,0,0,0,0,0
7/3/18,103574.916,95.27083333,6/17/18,7/8/18,10000,448893,1,1,1,0,0,0,0,0,0,0,0
7/4/18,92224.548,93.47916667,6/17/18,7/8/18,10000,448893,1,1,1,0,0,0,0,0,0,0,0
